Site,soil_treatment,depth,matricd,gravel_content,evco,trco_grass,trco_shrub,trco_tree,trco_forb,%sand,%clay,imperm,soiltemp
20,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.484,0.242,0,1.488
20,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.515,0.256,0,2.232
20,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.571,0.235,0,2.975
20,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.594,0.219,0,2.975
21,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.658,0.13,0,0.186
21,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.613,0.193,0,0.372
21,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.613,0.202,0,0.744
21,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.613,0.204,0,1.116
21,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.615,0.202,0,1.488
21,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.622,0.196,0,2.232
21,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.582,0.173,0,2.975
21,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.539,0.191,0,2.975
22,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.466,0.2,0,0.186
22,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.469,0.207,0,0.372
22,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.467,0.209,0,0.744
22,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.459,0.216,0,1.116
22,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.466,0.211,0,1.488
22,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.493,0.195,0,2.232
22,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.497,0.181,0,2.975
22,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.473,0.195,0,2.975
